Titulo del comentario,Tipo de Habitacion,Fecha reserva,Fecha del comentario,Nombre ,Me gusto,No me gusto,Duracion estadia,Puntaje,Pais procedencia,Tipo viajero
"Beautiful location, amazing staff and a great place to relax",Habitación Superior con vistas al mar - 2 camas,octubre de 2023,Fecha del comentario: 18 de octubre de 2023,Anónimo,"The location was amazing and the view was spectacular. Unreal place to relax and unwind. 
Staff were very friendly and helpful answering questions.","Lack of places to eat, if you want snacks there was limited options as well. Very expensive food and not many options. No options to pick up some fruit or something little in the day.

The amount you pay to stay and you don’t get much in the accomodation only a kettle and some tea/coffee.",4 noches ·,"7,0",Australia,En pareja
The stay was amazing. The activities and the tour guides were good. Always made you laugh. Food was also good and the st,Habitación Superior con vistas al mar - 2 camas,agosto de 2023,Fecha del comentario: 18 de agosto de 2023,Anónimo,The property was unreal. After seeing the other islands daydream is definitely the best,I liked the scenery. It was well set up.,5 noches ·,"9,0",Australia,En familia
Ian and sarah stay,Habitación Doble Resort con cama grande,julio de 2024,Fecha del comentario: 23 de julio de 2024,Anónimo,Loved the whole place and the tropical fish,Nothing,1 noche ·,10,Australia,En pareja
Disappointing,Habitación Doble adaptada para personas con discapacidad - 2 camas,diciembre de 2023,Fecha del comentario: 29 de diciembre de 2023,Anónimo,"All Leisure water activities - standup paddling , snorkeling etc - staff on both areas friendly and knowledgeable","General surroundings and Corridors not well kept Not clean , carpets ground floor stained and some water leaks . 

Reception female  staff on arrival day 14/12 not friendly and not helpful. Same staff on  check out 17/12 same unfriendly attitude . 

Reported a lost property ( shoes ) on 16/12 and on 17/12 - nil feedback",3 noches ·,"5,0",Australia,En familia
"Very relaxing, wish we stayed longer.",Habitación Doble Resort con cama grande,noviembre de 2023,Fecha del comentario: 18 de noviembre de 2023,Anónimo,Loved all of the wildlife and viewing sea life facilities.,Would’ve loved to have visited while the beaches had sand before the cyclones.,3 noches ·,10,Australia,En pareja
Will not be back and will be making everybody aware that this place is not what is says it is,Habitación Superior con vistas a la piscina - Cama extragrande,noviembre de 2023,Fecha del comentario: 12 de noviembre de 2023,Anónimo,Absolutely nothing,"Staff were unfriendly 
Place was dirty
No organisation 
Overpriced",3 noches ·,"1,0",Australia,En pareja
The fyre festival Netflix documentary in hire form,Habitación Superior con vistas al mar - 2 camas,julio de 2023,Fecha del comentario: 5 de agosto de 2023,Anónimo,Location,"Everything was closed and abandoned, will never come back again",3 noches ·,"1,0",Australia,En familia
Excepcional,Habitación Resort con 2 camas individuales,junio de 2023,Fecha del comentario: 18 de junio de 2023,Anónimo,Perfect location and amazing facilities,"More options for sandwiches, snacks and Gluten free vegetarian options would be fantastic.",4 noches ·,10,Australia,En grupo
very disappointing island has no vibe about it,Habitación Doble Superior con vistas a la piscina - 2 camas,mayo de 2023,Fecha del comentario: 15 de mayo de 2023,Anónimo,location whitsundays are beautiful,"old and dated, a lot of staff didn’t know basic things like for example
location of restaurants when asked.
no room service only limited restaurants, it felt
like this resort had no soul at all , bed was average overall I wouldn’t recommend this resort at all.",5 noches ·,"4,0",Australia,Persona que viaja sola
Die Lage und die tierische Vielfalt entschädigen für das höchst renovierungsbedürftige Resort.,Habitación Resort con 2 camas individuales,abril de 2026,Fecha del comentario: 21 de abril de 2026,Loma,Die Insel als auch ihre Lage sind traumhaft. Die tierische Vielfalt auf der Insel ist schlichtweg atemberaubend.,Das gesamte Resort ist höchst renovierungsbedürftig. Bereits mit kleinem Aufwand könnte man schon viel erreichen.,1 noche ·,"7,0",Suiza,En familia
Séjour de rêve dans un cadre idyllique,Deluxe Ocean Terrace King - Inclusive of Return Ferry Transfers,marzo de 2026,Fecha del comentario: 13 de marzo de 2026,Wivine,"Tout : L’accueil, le personnel, le cadre, le petit-déjeuner, le living Reef, les animaux, les piscines, les activités, les restaurants, etc.",-,3 noches ·,"9,0",Bélgica,Persona que viaja sola
Wären gerne länger geblieben,Alojamiento Superior con cama extragrande y vistas al océano,febrero de 2026,Fecha del comentario: 12 de febrero de 2026,Siegfried,"Ein sehr schöne und gepflegte Anlage mit einem Living Reef! Phantastisch! Man kann beim frühstücken auf die Tiere sehen! Frühstück war sehr gut! Wenig Abwechslung aber immer ausreichend!
Wir hatten ein Zimmer mit Meerblick! Besuch von jede Menge Kakadus und Känguru!!!","Das Personal beim Frühstück war wenig motiviert! Da waren die Raben oft schneller….!!
Am Strand „Lovers Cove“ Vorsicht vor Qualen.",5 noches ·,"9,0",Austria,En pareja
Décevant,Habitación Resort con 2 camas individuales,febrero de 2026,Fecha del comentario: 5 de febrero de 2026,Philippe,Le cadre et les animaux dans leur élément,On est captif et pas assez de choix de restauration. Les excursions sont hors de prix et on ne peut pas se baigner sans combinaison intégrale la moitié de l’année.,3 noches ·,"6,0",Francia,En grupo
Bien,Superior Ocean View King - Inclusive of Return Ferry Transfers,diciembre de 2025,Fecha del comentario: 6 de enero de 2026,Mathieu,"L’accueil du personnel était chaleureux, surtout dans cette période de fêtes, le lieu était magnifique dans une ambiance paradisiaque et les restaurants étaient bons.",Une partie de l’île semble abandonnée ce qui donne un sentiment étrange alors que cela pourrait être bien mieux exploité. Les piscines sont un peu vieillissantes. le rapport qualité prix n’est pas aussi bon que ce qu’on pourrait attendre,1 noche ·,"7,0",Australia,En pareja
Prachtige plaats om te verblijven maar het hotel zelf was niet volledig wat we verwachten.,Resort Twin Room - Inclusive of Return Ferry Transfers,enero de 2026,Fecha del comentario: 4 de enero de 2026,Annelies,De locatie is prachtig. De gratis watersporten zijn erg fijn.,Niet proper en wat verouderd. De kamer was nog vuil en stoffig toen we toekwamen. De tafel in het restaurant plakte en werd niet voldoende proper gehouden.,2 noches ·,"8,0",Bélgica,En familia
Un sogno ad occhi aperti,Resort Twin Room - Inclusive of Return Ferry Transfers,diciembre de 2025,Fecha del comentario: 2 de enero de 2026,Monica,"Il resort molto bello ed accogliente, la posizione ottima su un'isola paradisiaca circondata da una spiaggia di coralli",La mancanza di illuminazione notturna all'esterno della struttura e in prossimità delle piscine,1 noche ·,"8,0",Italia,En pareja
Flott anlegg og resort som fort kunne blitt mye betre med små endringer,Habitación Superior con vistas a la piscina - Cama extragrande,diciembre de 2025,Fecha del comentario: 23 de diciembre de 2025,Lars,Fint plassert i rolige omgivelser med fint bassengområde og fine akvarier med det meste.,Litt arugante personale som kom med en del feilinformasjon og eg synest dei var lite behjelpelige. Dette gjelder ikke alle men noen. Det var òg litt irriterende at alle turer måtte gå innom Hamilton for så å gå ut. Dette gjorde til at tur til eksempel Great Barrier Reef var to til tre timer lenger en den trenger å bli.,3 noches ·,"7,0",Noruega,En pareja
Oké,Habitación Superior con vistas a la piscina - Cama extragrande,septiembre de 2025,Fecha del comentario: 26 de septiembre de 2025,Paul,Het was een mooi eiland en het resort had prachtige zwembaden.,Het eten was zeer ondermaats. Met name het buffet was zeer slecht.,2 noches ·,"7,0",Países Bajos,En familia
Hôtel insulaire qui bénéficie d’un très beau cadre naturel mais qui doit faire des efforts,Habitación Resort con 2 camas individuales,agosto de 2025,Fecha del comentario: 1 de septiembre de 2025,Nicole,La beauté des lieux- salle de sport correct- beau hall d’entrée qui imprenable au premier coup d’œil mais équipement basique ( chaises etc),"Le manque d’amabilité à l’accueil- pas de service pour emmener les valises dans chambre- on nous explique très mal oû se trouve notre chambre. Piscines non chauffées donc peu de baigneurs. Petit déjeuner peu de choix, très basique ! Grosse déception - conseil: il est envisageable de séjourner à Daydream Island pour la beauté du cadre  naturel, l’aménagement des piscines mais ne pas imaginer des prestataires d’un hôtel de luxe mais d’un bon hôtel trois étoiles",1 noche ·,"7,0",Francia,En familia
Bien,Superior Ocean View King - Inclusive of Return Ferry Transfers,agosto de 2025,Fecha del comentario: 23 de agosto de 2025,Joerg,"Sehr viele Angebote wie Schnorcheln, Kajak fahren, SUP, alles im Preis","Frühstück, war nicht so gut, Eier kalt, wer sich halbwegs gesund ernähren möchte, hat hier fast nichts zur Auswahl.
Nervig waren auch die Vögel im Frühstücksraum und im Restaurant.",2 noches ·,"7,0",Alemania,En pareja
Top,Habitación Doble Resort con cama grande,agosto de 2025,Fecha del comentario: 20 de agosto de 2025,Emmanuelle,"Beaucoup d activités proposées 
Chante hyper confortable 
Petit déjeuner excellent 
De très bon dîners aussi","Accès snorkelling périlleux , il pourrait être aménagé",1 noche ·,"9,0",Francia,En pareja
Muy bien,Habitación Resort con 2 camas individuales,julio de 2025,Fecha del comentario: 28 de julio de 2025,Andreas,Die Anlage ist sehr schön.,"Das Spa ist am Sonntag geschlossen. Wir reisten am Samstag an und haben uns betreffend Spa erkundigt und ein Spa Menue erhalten. Als wir dann am regnerischen Sonntag ins Spa wollten, wurde uns mitgeteilt, dass es am Sonntag immer geschlossen ist. Da wir am Montag wieder abreisten, wurde leider nichts aus unserem „Wellness“ Wochenende.",2 noches ·,"8,0",Suiza,En familia
值得一去,Habitación Superior con vistas a la piscina - Cama extragrande,abril de 2025,Fecha del comentario: 28 de mayo de 2025,Wei,作为一个半业内人士，能看的出岛上员工和管理层的努力，一个十分适合短期放空，度假的地方 酒店设施和齐全，有多个泳池。适合亲子度假。 房间干净整洁，尤其是员工十分友善，并且乐于助人。,"住两三天还行。。再多的确会感觉到无聊了。 
其实那么好的岛，应该尽量往高端走的。可能的确是岛上建筑装修成本过高了难以实现吧。 
如果要多住几天，建议花点小钱建个jetty， 能钓鱼的那种，算开个项目吧。 餐厅整个钓上的鱼来料加工。",3 noches ·,"9,0",Australia,En familia
Fantástico,Habitación Resort con 2 camas individuales,marzo de 2025,Fecha del comentario: 26 de marzo de 2025,Marilyne,Personnel tres aimable chambre avec une vue magnifique 🥰🥰,,1 noche ·,"9,0",Francia,En pareja
"Wir würden wieder kommen, wenn die Preise im Verhältnis zu den Zimmern stünden",Habitación Deluxe Ocean con terraza - Cama extragrande,febrero de 2025,Fecha del comentario: 27 de febrero de 2025,Miriam,"Wunderschöne Anlage auf einer tollen Insel umgeben von netten „Insel-Bewohnern“ (Kakadus, Wallaroos, Curlews);
Große Pool-Anlage;
Toller Ausblick auf das Meer und die umliegenden Inseln vom Zimmerbalkon aus;
Sehr freundliches und hilfsbereites Personal;
Zum Dinner stehen zwei Restaurants zur Auswahl, die solide gut kochen;
Kaffeebar in der Lobby, die sehr guten Kaffee serviert;
Ausflüge über „Cruise Whitsundays“ direkt vom Hotel aus möglich","Zimmer-Design ist nett, allerdings sind die Zimmer recht abgewohnt, insbesondere die Flure und Türen sehen aus wie man sich circa ein altes Gefängnis vorstellt - dazu passen die gehobenen Zimmerpreise einfach nicht! Preis-Leistung hat hier für uns nicht gepasst - für 300€/Nacht erwarten wir eine Premium-Leistung;
Frühstücksauswahl entspricht leider auch eher einem schlechten 3-Sterne-Hotel",4 noches ·,"8,0",Alemania,En pareja
Hotel z niewykorzystanym potemcjałem,Habitación Deluxe Ocean con terraza - Cama extragrande,enero de 2025,Fecha del comentario: 2 de febrero de 2025,Lisowska,"Pięknie położony hotel na Rajskiej wyspie. Zdecydowałyśmy się na pokój z widokiem. Przed tarasem latały piękne papugi i biegały kangury - coś niesamowitego. Pokój przestronny i dobrze wyposażony. Bardzo miła obsługa w hotelu, zwłaszcza Pan manager, który pomógł nam w wielu kwestiach, również Panie z recepcji były przemiłe. Świetny basen i bar basenowy, gdzie można napić się smacznych drinków. Co do jedzenia bar położony niedaleko recepcji serwuje dobre kalmary i tacos z rybą i kalafiorem. Piękne oceanarium na terenie obiektu.","Hotel wymaga gruntownego sprzątania i odświeżenia, wykładzina wymaga radykalnego czyszczenia. Śniadanie bez szału, na przeżycie. Co do reszty restauracji na terenie obiektu obsługa wymaga gruntownego szkolenia z pracą z klientem i kultury osobistej. Przydało by się zainteresować w szkolenie dla personelu bo w ten sposób hotel traci wiele. W jednej restauracji azjatyckiej przyszłyśmy 5 min wcześniej przed naszą rezerwacją, dziewczyna, która tam pracowała wyrzuciła nas przez drzwi i zamknęła je kłódka mówiąc że restauracja otwiera się dopiero za 5 minut, po zapukaniu równo o godzinie rezerwacji przewróciła oczami i dopiero nas wpuściła. Jedzenie w restauracji bardzo słabe, przy takim dostępie do świeżych produktów jedzenie powinno być smaczne. Ryba dnia przesuszona, okropna. Niewykorzystany potencjał tak cudownego miejsca.",2 noches ·,"6,0",Polonia,En familia
玩起来很轻松 风景很美丽,Superior Living Reef View Twin Room,enero de 2025,Fecha del comentario: 25 de enero de 2025,Zzzzz,风景绝佳 玩起来很轻松,清洁度 特别是客房,2 noches ·,"7,0",Australia,En familia
Jättebra,Habitación Superior con vistas a la piscina - Cama extragrande,enero de 2025,Fecha del comentario: 13 de enero de 2025,Linda,"Naturlivet, lagom avstånd att gå överallt, poolerna","Lite utdaterad, kan behöva fixas upp lite",2 noches ·,"8,0",Suecia,Persona que viaja sola
Tolle Anlage mit abgewohnten Zimmer .,Habitación Doble adaptada para personas con discapacidad - 2 camas,enero de 2025,Fecha del comentario: 9 de enero de 2025,Kerstin,"Alles bis auf das Zimmer .
Das Essen war super.
Das Personal sehr sehr nett.
Die Poolanlage war auch klasse.","Unser Zimmer ( Nummer 2101) war sehr unwohnlich und nicht sauber.
Das Badezimmer war total hässlich und nicht sauber.
Es glich einem abgewohntes Schwimmbad .",3 noches ·,"7,0",Alemania,En grupo
Resort paradisíaco! O enquadramento na paisagem é quase surreal.,Habitación Superior con vistas a la piscina - Cama extragrande,diciembre de 2024,Fecha del comentario: 1 de enero de 2025,Paula,"A localização é demasiado perfeita para ser real.
O enquadramento do resort numa ilha é absolutamente fantástico.","Nos corredores de acesso aos quartos, a área de apoio do house-keeping estava sempre muito desarrumada e suja.",2 noches ·,"8,0",Portugal,En pareja
Bien,Habitación Doble Resort con cama grande,noviembre de 2024,Fecha del comentario: 15 de noviembre de 2024,Jill,"Joli île avec beaucoup de faune, de végétation, belle piscine et jolie plage.","La plomberie de la chambre une catastrophe. Il n'y avait presque pas d'eau froide. 
L'état des communs de l'hôtel catastrophique. Toujours très sale partout. Vraiment dommage !",2 noches ·,"7,0",Suiza,En pareja
Fantástico,Habitación Resort con 2 camas individuales,octubre de 2024,Fecha del comentario: 1 de noviembre de 2024,Patricia,"Das Resort umfasst die komplette Insel - jedoch ist nur der vordere Teil (da, wo man am Hafen ankommt) derzeit geöffnet. Man ist innerhalb von 15-20 Minuten am anderen Ende der Insel, wo allerdings nicht viel los ist (prinzipiell ist hier alles ausgestorben und Baustelle). Der Sonnenuntergang war trotzdem traumhaft schön. Das schnorcheln am hauseigenen Riff war wunderschön, und man bekommt die Ausrüstung kostenlos ausgeliehen! Die Zimmer waren sehr groß und wirklich sehr komfortabel, das Personal sehr freundlich. Das Frühstücksbuffet war reichhaltig und wurde auch immer aufgefüllt. Wir haben uns sehr wohl gefühlt!","In den vorherigen Bewertungen kann man bereits lesen, dass man nur zwei Restaurants zur Verfügung hat, die abends schnell ausgebucht sind. Wenn man das aber weiß, kann man reservieren. Hier wäre ein besseres System gut, die Anzahl der Gäste auf der Insel ist ja überschaubar und man könnte durchaus Möglichkeiten schaffen, dass jeder auch ohne Reservierung (und zum Teil langem anstehen trotz Reservierung) einen Platz bekommt. Die Preise sind eher hoch, aber auch darauf waren wir aufgrund der vorherigen Bewertungen vorbereitet.",3 noches ·,"9,0",Alemania,En grupo
Muy bien,Habitación Superior con vistas a la piscina - Cama extragrande,octubre de 2024,Fecha del comentario: 9 de octubre de 2024,Maxim,"В целом отзывчивый персонал, хорошее качество еды, легко добраться до острова, просторный номер с хорошим видом, достаточное количество развлечений, прекрасная морская обсерватория, живой риф и чудные скаты, очень познавательно.","Ещё до заезда в отель очень долго отвечают на запросы. Ну очень долго. Для отеля такого уровня и таких расценок это неприемлемо. Также разочарованы уборкой номера после двух дней пребывания: заправить кровать и забрать мусор - это не уборка, особенно когда на входе пол так и остался в песке. И в вечернее время просто невозможно ходить по дорожкам - свет бьёт прямо в глаза! Было бы приятнее на балконе поставить хотя бы пару стульев.",4 noches ·,"8,0",Kirguizistán,En familia
Heerlijk ontspannende dagen gehad,Resort King– Including Return Ferry Transfer,septiembre de 2024,Fecha del comentario: 18 de septiembre de 2024,Robert,,Er mogen meer parasols bij de zwembaden,3 noches ·,"9,0",Países Bajos,En grupo
Fantástico,Superior Pool View Twin– Including Return Ferry Transfer,agosto de 2024,Fecha del comentario: 21 de agosto de 2024,Maier,Sehr schöne Insel mit viel Potential. Frühstück war sehr gut.  Wir waren auch zweimal beim Abendessen nicht ganz billig aber gut.,"Die Zeiten bei denen man schnorcheln konnte und Kajak ausleihen kann war nur bis 15.00 Uhr möglich.  Als wir um 11.15 Uhr dort ankamen stand auch noch dran, dass es eine Mittagspause von 12.30 - 13.00 Uhr gibt.  Ab 12.00 wurde dann die Ausrüstung schon eingesammelt.  Mitarbeiterin war null motiviert.  Beim Kajakverleih stand um 14.00 Uhr geschlossen dran. Hätten wir das gewusst,  wären wir früher hin gegangen.",2 noches ·,"9,0",Alemania,En familia
"Abbiamo passato 3 magnifici giorni in questa struttura, l’isola è veramente piccola ma molto accogliente. Il personale c",Habitación Resort con 2 camas individuales,agosto de 2024,Fecha del comentario: 4 de agosto de 2024,Roberto,"La struttura è molto accogliente, e il personale gentile. Super complimenti a Dylan che ci aiutato a rendere il nostro soggiorno meraviglioso.",Dovrebbero essere più curate alcune parti e sicuramente una maggiore manutenzione,3 noches ·,"9,0",Italia,En familia
Muy bien,Habitación Doble Superior con vistas a la piscina - 2 camas,julio de 2024,Fecha del comentario: 3 de agosto de 2024,Olivia,Nous avons particulièrement aimé la proximité avec les animaux (kangourous et aquarium).,"C'est vraiment dommage qu'aucune piscine ne soit chauffée.
Le manque de repas équilibré est quand même un point faible, car il n'y a aucune autre possibilité de se restaurer, hormis les pizzas et les burgers...",3 noches ·,"8,0",Francia,En familia
Super Basis für Whitsundays,Habitación Doble Superior - 2 camas - Lado de la piscina,junio de 2024,Fecha del comentario: 19 de julio de 2024,Simon,"Die Insel ist schön gelegen.
Die Zimmer gross, wenn auch etwas älter.","Personal war an Rezeption leider etwas unfreundlich, hier liegt Verbesserungspotenzial drin.",3 noches ·,"8,0",Suiza,En familia
Fantástico,Habitación Doble Resort con cama grande,junio de 2024,Fecha del comentario: 2 de julio de 2024,Piccolo,"Très bon petit déjeuner, à coté de l'aquarium.",,2 noches ·,"9,0",Francia,En pareja
Fantástico,Habitación Doble Resort con cama grande,junio de 2024,Fecha del comentario: 24 de junio de 2024,Nicole,Tolles Resort und super schöne Zimmer sowie Poolanlage. Essen etwas teuer aber sehr lecker.,Tennisanlage wurde renoviert und war nicht verfügbar.,5 noches ·,"9,0",Suiza,En pareja
Bien,Habitación Doble adaptada para personas con discapacidad - 2 camas,marzo de 2024,Fecha del comentario: 4 de junio de 2024,Eva,L’île est de toute beauté !,"Il n’y a pas beaucoup d’activité proposé.
Nous avons eu un soucis avec une des chambres, nous étions 3 et il n’y avait que un seul lit et nous avons dû demander 4 fois pour avoir un autre lit!
Compliqué tout ça..
Ils n’ont pas été très arrangeant 
C’est dommage..",3 noches ·,"7,0",Francia,En familia
Schöne Insel mit leichten Mängeln bei der Sauberkeit,Habitación Doble Superior con vistas a la piscina - 2 camas,marzo de 2024,Fecha del comentario: 7 de marzo de 2024,Manuela,#¿NOMBRE?,"- Badezimmer in die Jahre gekommen
- im Zimmer hatten wir mit Ameisen zu kämpfen (auch nach Wechsel des Zimmers bestand das Problem)
- Zimmer war sehr staubig und unter den Betten wurde lange nicht sauber gemacht
- Restaurant: 1 Restaurant hatte am Abend a la carte, 2 Restaurant hatte nur take away essen am abend",6 noches ·,"8,0",Alemania,En familia
Daydream,Habitación Doble adaptada para personas con discapacidad - 2 camas,febrero de 2024,Fecha del comentario: 29 de febrero de 2024,Giuseppe,"Tante attività, pieno di canguri liberi per l’isola molti servizi gratuiti tra cui tennis kayak calcetto, e anche snorkelling.",Assenza di ristoranti e qualsiasi possibilità di mangiare dopo le 20. Chiusura del bar alle 21 massimo 22,3 noches ·,"8,0",Italia,En grupo
Mooie accommodatie voor 1 of 2 nachten.,Habitación Doble Resort con cama grande,febrero de 2024,Fecha del comentario: 16 de febrero de 2024,J,"Mooie grote kamer met fijn bed. Wel heel erg vochtig in de kamer ondanks de airco die 24 uur stond te draaien. Mooie badkamer, wel douchen in bad. Prachtige locatie voor 1 of 2 nachten. Prachtige zwembaden, maar overvliegende vogels poepen er in. Mooie lunchlocaties met uitzicht maar wel vervelende griels (vogels) die bedelen om eten. Je eet niet echt rustig. Bijna verplicht te reserveren voor diner anders geen tafel. Wel take away mogelijkheden. Overal zeer vriendelijk personeel. Bij ontbijt zeer veel keuzemogelijkheden warm/koud, maar wederom vogels een plaag. Deur staat ook wijd open dus vogels komen makkelijk binnen en er zijn altijd gasten die ze voeren ondanks vriendelijk verzoek dit niet te doen.",Airco functioneerde niet goed en maakte herrie.,1 noche ·,"8,0",Países Bajos,En pareja
Perfektes Inselglück,Habitación Doble Resort con cama grande,diciembre de 2023,Fecha del comentario: 9 de enero de 2024,Michaela,Die Lage auf der Insel ist einzigartig.,"Es gibt nur zwei Restaurants zur Auswahl, die abends schnell ausgebucht sind.",3 noches ·,"8,0",Alemania,En familia
Agradable,Habitación Superior - Cama extragrande - Lado de la piscina,diciembre de 2023,Fecha del comentario: 1 de enero de 2024,Jiao,早餐很好吃，为我升级了海景房,卫生条件差，阳台居然没打扫卫生有鸟屎。,3 noches ·,"6,0",China,En pareja
Un bel endroit pour s’amuser au whitsundays,Habitación Doble Resort con cama grande,diciembre de 2023,Fecha del comentario: 29 de diciembre de 2023,Axel,"Les aquarium, les piscines, le petit déjeuner, la presence des kangourous, la chambre spacieuse, le personnel, l’endroit.",La plage devrait avoir plus de sable fin,3 noches ·,"9,0",Isla Mauricio,En familia
Eine tolle Woche mit viel Entspannung und Abenteuern.,Habitación Doble adaptada para personas con discapacidad - 2 camas,diciembre de 2023,Fecha del comentario: 28 de diciembre de 2023,Florian,"Wunderschöne Insel, zwei Poollandschaften, sehr freundliches Personal. Wir hatten eine wunderbare Woche und haben uns sehr wohl gefühlt. Generell kann man von dort aus viele Ausflüge machen, was wir sehr empfehlen würden.","Es gibt „nur“ zwei Restaurants zum Abendessen, zudem gibt es am Abend nicht wirklich ein Unterhaltungsprogramm. Teilweise war es im Frühstückssaal etwas dreckig. Es sind doch viele Familien mit Kindern da, was uns als junges Paar etwas „überrascht“ hat ;-)",7 noches ·,"8,0",Alemania,En pareja
Muy bien,Habitación Superior con vistas al mar - 2 camas,noviembre de 2023,Fecha del comentario: 23 de noviembre de 2023,Jonas,"Saubere, grosse Zimmer.",,2 noches ·,"8,0",Suiza,En familia
"Nette Insel, Anlage okay, aber könnte man mehr draus machen wenn es sauberer wäre und wertiger ausgestattet wäre",Alojamiento Superior con cama extragrande y vistas al océano,octubre de 2023,Fecha del comentario: 27 de octubre de 2023,Sabine,Generell gut- die Anlage lebt von den Tieren die dort leben,"Da sich sehr viele Tiere auf der Insel befinden müsste mehr auf die Hygiene geachtet werden. Die freilebenden Kängurus hinterlassen überall Kot, auch in den Hotelfluren! Hier sollte öfter sauber gemacht werden! Außerdem ist uns aufgefallen, dass am Abend die Poolanlagen nicht aufgeräumt werden- leere Gläser und Müll stehen überall herum und die Tiere gehen dort dran! Wir haben ein Känguru gesehen welches Strohhalme aß Aus herumstehenden Gläsern! Da ist der Mensch für verantwortlich!",3 noches ·,"6,0",Alemania,En pareja
"Tolle Zeit, mit viel Basevergnügen, Tierleben inklusive, man darf nicht zu penibel sein, dann wird es ein toller Urlaub!",Habitación Superior con vistas a la piscina - Cama extragrande,octubre de 2023,Fecha del comentario: 18 de octubre de 2023,Dominic,"Poollandschaft ist toll, vor allem für Familien!","Zimmerservice, Lautstärke im Restaurant",6 noches ·,"7,0",Australia,En familia
Muy bien,Habitación Superior con vistas al mar - 2 camas,agosto de 2023,Fecha del comentario: 11 de agosto de 2023,Moniek,"De locatie was top. Goed ontbijt, mooie ruime kamers. Heerlijk zwembad. Lovers Cove was een heerlijk stukje strand waar je kon snorkelen. In de lobby lekker tafeltennis.","Badkamer was netjes en modern alleen viel onze douche wat tegen. Douchen in bad, is op zich niet erg maar water liep niet goed weg en was lastig om goede temperatuur in te stellen.

Er zijn heel veel kangoeroes op het resort die ondanks het verzoek dit niet te doen toch gevoerd worden waardoor ze gefixeerd zijn op eten. Andere prullenbakken zodat ze hier niet uit kunnen eten zou denk ik schelen. En misschien iets van een hekwerk rondom restaurant zodat je daar rustig kan eten buiten. 

Het is heel bijzonder zo op het resort maar eigenlijk ook heel zielig voor die dieren die karton en alles eten...",4 noches ·,"8,0",Países Bajos,En familia
très agréable,Habitación Doble Superior con vistas a la piscina - 2 camas,agosto de 2023,Fecha del comentario: 7 de agosto de 2023,Stéphanie,"île, plusieurs plages, une très belle piscine, les kangourous en liberté, des restaurants de qualité aux prix corrects, tout pour passer un bon séjour avec cette sensation d’être loin de tout",,3 noches ·,"8,0",Francia,En familia
Agradable,Alojamiento Superior con cama extragrande y vistas al océano,agosto de 2023,Fecha del comentario: 5 de agosto de 2023,Chloé,La localisation. Le personnel. Les animaux.,"L’odeur d’humidité/renfermé dans la chambre. 
Peinture dans la baignoire qui s’effrite et pas de bouchon pour prendre un bain.
Pas de change pour le billard. 
Le burger poulet décevant. Très gras.",1 noche ·,"6,0",Australia,En pareja
Bien,Habitación Doble Resort con cama grande,julio de 2023,Fecha del comentario: 30 de julio de 2023,Arno,"Locatie is prachtig, grootte van de kamers top. Zwembad naast hoofdgebouw is heel groot
Het living reef is prachtig","Er was veel stuk (Pooltafels, bubbelbad, koffieautomaat bij Tonic bar, slushie machine). Lange wachttijden eten terwijl er weinig gasten waren. 2 restaurants met schrale kaart. Als vegetariër kan je bijna niks eten. En de prijzen bij afrekenen waren hoger dan aangegeven.
Andere deel eiland, waar je trouwkapel is, was helemaal gesloten. De winkeltjes, het zwembad, geen bar daar open en ook geen watersportfaciliteiten.
Geen 4 sterren waard vinden wij helaas",3 noches ·,"7,0",Países Bajos,En familia
Agradable,Habitación Doble Resort con cama grande,julio de 2023,Fecha del comentario: 12 de julio de 2023,Hong,一岛一酒店，环境优美，岛上到处是可爱的小袋鼠，酒店的餐厅很美味且收费合理，岛上还有丰富免费及收费的水上项目。,酒店虽然翻新过，但还是比较老旧，特别是卫生间。自助早餐比较难吃，而且早餐的餐具都没洗干净，很脏。交通有点不方便，要飞到汉密尔顿岛再坐轮渡。,2 noches ·,"6,0",China,En familia
Tolle Anlage mit viel Wildlife,Habitación Doble Superior con vistas a la piscina - 2 camas,junio de 2023,Fecha del comentario: 20 de junio de 2023,Yasibah,"Unglaublich zuvorkommender Manager, der uns umgehend ein neues Zimmer gegeben hat, nachdem wir reklamiert haben, wegen Lärm der Powerstation außerhalb. Die Tiere so nah zu sehen, ist einmalig. Das Essen im Restaurant ist top. Tolle Poolanlage. Gutes Frühstück. Kakadus auf dem Balkon.",Nichts,3 noches ·,"9,0",Suiza,En pareja
Terribile,Habitación Doble Resort con cama grande,enero de 2026,Fecha del comentario: 9 de enero de 2026,Juan,Niente,Tutto,1 noche ·,"1,0",Colombia,En pareja
